
Track Number Of Generations
 ==================== 
Track Number Of Generations,Unit,Category,ID,
1,,Track,1001244289,
1,,Track,1001261153,
1,,Track,1001265495,
1,,Track,1001290709,
1,,Track,1001298039,
1,,Track,1001304416,
1,,Track,1001307011,
1,,Track,1001310725,
1,,Track,1001347654,
1,,Track,1001349662,
1,,Track,1001351185,
1,,Track,1001373018,
1,,Track,1001374929,
1,,Track,1001376957,
1,,Track,1001382680,
1,,Track,1001390095,
1,,Track,1001399631,
1,,Track,1001414282,
1,,Track,1001432525,
1,,Track,1001443126,
1,,Track,1001444551,
1,,Track,1001447832,
1,,Track,1001459999,
1,,Track,1001463577,
1,,Track,1001470670,
1,,Track,1001484970,
1,,Track,1001498754,
1,,Track,1001510065,
1,,Track,1001511880,
1,,Track,1001515348,
1,,Track,1001524529,
1,,Track,1001524797,
1,,Track,1001531007,
1,,Track,1001535243,
1,,Track,1001536213,
1,,Track,1001549656,
1,,Track,1001571482,
1,,Track,1001585322,
1,,Track,1001597972,
1,,Track,1001634186,
1,,Track,1001641521,
1,,Track,1001649683,
1,,Track,1001660310,
1,,Track,1001662631,
1,,Track,1001662802,
1,,Track,1001692264,
1,,Track,1001696991,
1,,Track,1001705575,
1,,Track,1001708522,
1,,Track,1001717292,
1,,Track,1001721190,
1,,Track,1001721732,
1,,Track,1001722530,
1,,Track,1001723411,
1,,Track,1001735688,
1,,Track,1001739237,
1,,Track,1001745981,
1,,Track,1001748846,
1,,Track,1001774250,
1,,Track,1001792466,
1,,Track,1001800294,
1,,Track,1001831823,
1,,Track,1001838017,
1,,Track,1001843531,
1,,Track,1001850191,
1,,Track,1001869026,
1,,Track,1001872907,
1,,Track,1001874170,
1,,Track,1001876881,
1,,Track,1001878744,
1,,Track,1001889904,
1,,Track,1001895167,
1,,Track,1001896809,
1,,Track,1001904297,
1,,Track,1001904618,
1,,Track,1001939884,
1,,Track,1001942811,
1,,Track,1001954731,
1,,Track,1001968557,
1,,Track,1001968819,
1,,Track,1001978360,
1,,Track,1002006710,
1,,Track,1002029154,
1,,Track,1002031500,
1,,Track,1002047887,
1,,Track,1002051985,
1,,Track,1002059095,
1,,Track,1002067444,
1,,Track,1002067747,
1,,Track,1002113497,
1,,Track,1002124155,
1,,Track,1002125541,
1,,Track,1002142435,
1,,Track,1002148602,
1,,Track,1002150876,
1,,Track,1002158806,
1,,Track,1002180262,
1,,Track,1002182375,
1,,Track,1002205040,
1,,Track,1002211774,
1,,Track,1002213141,
1,,Track,1002223441,
1,,Track,1002227684,
1,,Track,1002236414,
1,,Track,1002242134,
1,,Track,1002242329,
1,,Track,1002243369,
1,,Track,1002246854,
1,,Track,1002262996,
1,,Track,1002273437,
1,,Track,1002278860,
1,,Track,1002300559,
1,,Track,1002307653,
1,,Track,1002309454,
1,,Track,1002316459,
1,,Track,1002316883,
1,,Track,1002317275,
1,,Track,1002336151,
1,,Track,1002336484,
1,,Track,1002360360,
1,,Track,1002367218,
1,,Track,1002369367,
1,,Track,1002382179,
1,,Track,1002396861,
1,,Track,1002402760,
1,,Track,1002404222,
1,,Track,1002429210,
1,,Track,1002435411,
1,,Track,1002453328,
1,,Track,1002454260,
1,,Track,1002458180,
1,,Track,1002460030,
1,,Track,1002460974,
1,,Track,1002461635,
1,,Track,1002463724,
